firstName,groups.role,groups.status,description,subject,memberCount,creationTimestamp,announcementOnly,membershipApproval,joinedAt,memberAddMode,tags.politicalLeaning.tagValue,tags.demographic.tagValue,tags.topic.tagValue,tags.organization.tagValue,tags.organization.organizationType,tags.demographic.age,tags.demographic.gender,tags.organization.organizationName,masked_groupId,masked_userId,tags.geographic
עם,ADMIN,JOINED,"*קהילה זו כוללת בתוכה את כל הקבוצות של ניסי ה' ועוזו במדינת ישראל (1-21)*

*ניסי דורנו והיסטוריה יהודית ב150 השנים האחרונות עם חיבור עמוק לתנ""ך ולהתגשמות דברי הנביאים בדורנו במדינת ישראל* 

*וגם סיפורים חשובים ודברים מעניינים בע""ה*  לעיתים יהיו גם פרסומות שונות.

מוזמנים. הראל פדידה רב המרכז הרפואי שמיר אסף הרופא בצריפין  ומרצה על ניסי דורנו 058-7322289

הקבוצה מתחברת מאוד לפסוק מישעיה ס""ג, ז':

*חַֽסְדֵ֨י ה'׀אַזְכִּיר֙ תְּהִלֹּ֣ת ה' כְּעַ֕ל כֹּ֥ל אֲשֶׁר־גְּמָלָ֖נוּ ה' וְרַב־טוּב֙ לְבֵ֣ית יִשְׂרָאֵ֔ל אֲשֶׁר־גְּמָלָ֥ם כְּֽרַחֲמָ֖יו וּכְרֹ֥ב חֲסָדָֽיו:*",קהילת ניסי ה' ועוזו במדינת ישראל. נא להפיץ ולפרסם,4,1668703953.0,False,False,,,נייטרלי,יהודים דתיים לא חרדים,דת,קהילת ניסי ה' ועוזו במדינת ישראל,תנועה או ארגון דתי,,,,249e84288563619136839c677d4f9369,f02bc501b21af48c7c5a72fa34666282,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
עם,ADMIN,JOINED,"*קהילה זו כוללת בתוכה את כל הקבוצות של ניסי ה' ועוזו במדינת ישראל (1-21)*

*ניסי דורנו והיסטוריה יהודית ב150 השנים האחרונות עם חיבור עמוק לתנ""ך ולהתגשמות דברי הנביאים בדורנו במדינת ישראל* 

*וגם סיפורים חשובים ודברים מעניינים בע""ה*  לעיתים יהיו גם פרסומות שונות.

מוזמנים. הראל פדידה רב המרכז הרפואי שמיר אסף הרופא בצריפין  ומרצה על ניסי דורנו 058-7322289

הקבוצה מתחברת מאוד לפסוק מישעיה ס""ג, ז':

*חַֽסְדֵ֨י ה'׀אַזְכִּיר֙ תְּהִלֹּ֣ת ה' כְּעַ֕ל כֹּ֥ל אֲשֶׁר־גְּמָלָ֖נוּ ה' וְרַב־טוּב֙ לְבֵ֣ית יִשְׂרָאֵ֔ל אֲשֶׁר־גְּמָלָ֥ם כְּֽרַחֲמָ֖יו וּכְרֹ֥ב חֲסָדָֽיו:*",קהילת ניסי ה' ועוזו במדינת ישראל. נא להפיץ ולפרסם,4,1668703953.0,False,False,,,נייטרלי,יהודים דתיים לא חרדים,דת,קהילת ניסי ה' ועוזו במדינת ישראל,תנועה או ארגון דתי,,,,249e84288563619136839c677d4f9369,518db29c9978e04b73457fbb1c1b1b4e,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
אמונה,MEMBER,LEFT,קבוצה לחפירות/שיחות למי שמעל גיל 18 לכולם כולל חילוניים ודתיים ועוד . לא לפירסומות מכל סוג .,🔞 מדברים על הכל,18,1708201849.0,False,True,2025-08-28 04:05:11.000,,נייטרלי,יהודים דתיים לא חרדים,קהילה,,,,,,b58487343ab4c88c4d378c8d2071e07f,fa2f69a96b61bb2af1612dd886a64d73,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
שמואל,MEMBER,JOINED,קבוצה לחפירות/שיחות למי שמעל גיל 18 לכולם כולל חילוניים ודתיים ועוד . לא לפירסומות מכל סוג .,🔞 מדברים על הכל,18,1708201849.0,False,True,2025-08-28 04:05:11.000,,נייטרלי,יהודים דתיים לא חרדים,קהילה,,,,,,b58487343ab4c88c4d378c8d2071e07f,a82ee587d049cabfb072babbb9ca32b2,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
גדי,MEMBER,JOINED,,קהילת קבוצות דיבורים,53,1668757462.0,True,False,2025-07-26 18:04:06.000,,נייטרלי,יהודים דתיים לא חרדים,קהילה,,,,,,e4e07b0a899d4a186ad39e96d1f8d830,6c75e2c739f7995677eecc340b17abc1,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
שמואל,MEMBER,JOINED,,קהילת קבוצות דיבורים,53,1668757462.0,True,False,2025-07-26 18:04:06.000,,נייטרלי,יהודים דתיים לא חרדים,קהילה,,,,,,e4e07b0a899d4a186ad39e96d1f8d830,a82ee587d049cabfb072babbb9ca32b2,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
𝓙𝓪𝓬𝓸𝓫𝓸,MEMBER,JOINED,,קהילת קבוצות דיבורים,53,1668757462.0,True,False,2025-07-26 18:04:06.000,,נייטרלי,יהודים דתיים לא חרדים,קהילה,,,,,,e4e07b0a899d4a186ad39e96d1f8d830,5174fc250466b58f34c6236acc08d558,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
shai,MEMBER,LEFT,"*ברוכים הבאים לקבוצת משהו שלא ידעתם* 🤗

*📢 מה מחכה לכם כאן?*

סרטוני תוכן מעניינים מכל העולם, עם תרגום לעברית כמובן! 🌍

וגם תוכן כתוב, כמו סיפורים היסטוריים, עובדות משוגעות, ודברים שיגרמו לכם להגיד ""אין מצב שזה אמיתי"" 📜

⚠️ *הבהרה חשובה:*
הסרטונים בקבוצה שייכים ליוצריהם המקוריים, ואיננו אחראים על תוכנם.

סימן המים שאנחנו מוסיפים נועד רק לציין את עבודת *התרגום* שלנו, הקרדיט על התוכן עצמו שמור ליוצרי הסרטון.

לבקשות והצעות תוכן שלחו הודעה ל- 054-728-0828

*לשיתוף והצטרפות ♻*
*משהו שלא ידעתם💡>>>*
https://chat.whatsapp.com/CGTUQKIUMs76mXjCU8mSCv",משהו שלא ידעתם (4),114,1747510284.0,True,False,2025-08-01 09:04:23.000,,נייטרלי,יהודים חילונים,"חינוך, העשרה ותחביבים",משהו שלא ידעתם,ארגון אחר,,,,c58d646bf418ec82b7cdc6ed7230fc6e,b1ee27e71eb5ed2bb13d725817077b91,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
Yakov,MEMBER,JOINED,"*ברוכים הבאים לקבוצת משהו שלא ידעתם* 🤗

*📢 מה מחכה לכם כאן?*

סרטוני תוכן מעניינים מכל העולם, עם תרגום לעברית כמובן! 🌍

וגם תוכן כתוב, כמו סיפורים היסטוריים, עובדות משוגעות, ודברים שיגרמו לכם להגיד ""אין מצב שזה אמיתי"" 📜

⚠️ *הבהרה חשובה:*
הסרטונים בקבוצה שייכים ליוצריהם המקוריים, ואיננו אחראים על תוכנם.

סימן המים שאנחנו מוסיפים נועד רק לציין את עבודת *התרגום* שלנו, הקרדיט על התוכן עצמו שמור ליוצרי הסרטון.

לבקשות והצעות תוכן שלחו הודעה ל- 054-728-0828

*לשיתוף והצטרפות ♻*
*משהו שלא ידעתם💡>>>*
https://chat.whatsapp.com/CGTUQKIUMs76mXjCU8mSCv",משהו שלא ידעתם (4),114,1747510284.0,True,False,2025-08-01 09:04:23.000,,נייטרלי,יהודים חילונים,"חינוך, העשרה ותחביבים",משהו שלא ידעתם,ארגון אחר,,,,c58d646bf418ec82b7cdc6ed7230fc6e,acc77d80ae30e0cdbc368b8686e36b15,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
המיטב,MEMBER,LEFT,"*ברוכים הבאים לקבוצת משהו שלא ידעתם* 🤗

*📢 מה מחכה לכם כאן?*

סרטוני תוכן מעניינים מכל העולם, עם תרגום לעברית כמובן! 🌍

וגם תוכן כתוב, כמו סיפורים היסטוריים, עובדות משוגעות, ודברים שיגרמו לכם להגיד ""אין מצב שזה אמיתי"" 📜

⚠️ *הבהרה חשובה:*
הסרטונים בקבוצה שייכים ליוצריהם המקוריים, ואיננו אחראים על תוכנם.

סימן המים שאנחנו מוסיפים נועד רק לציין את עבודת *התרגום* שלנו, הקרדיט על התוכן עצמו שמור ליוצרי הסרטון.

לבקשות והצעות תוכן שלחו הודעה ל- 054-728-0828

*לשיתוף והצטרפות ♻*
*משהו שלא ידעתם💡>>>*
https://chat.whatsapp.com/CGTUQKIUMs76mXjCU8mSCv",משהו שלא ידעתם (4),114,1747510284.0,True,False,2025-08-01 09:04:23.000,,נייטרלי,יהודים חילונים,"חינוך, העשרה ותחביבים",משהו שלא ידעתם,ארגון אחר,,,,c58d646bf418ec82b7cdc6ed7230fc6e,e366b6d0a87f20380c66af612585d7de,"[{'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}, {'settlement': nan, 'district': nan, 'city': nan, 'region': nan}]"
